m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1
생산량,1.8,1.6,1.4,1.8,1.8,1.6,1.7,1.7,1.4,1.7
수입량,-,-,0.4,0.1,0.1,0.2,-,0.1,0.2,0.2
곡물총량,1.9,1.7,2,2.1,2.1,2.1,1.9,1.8,1.7,2
음식소비,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5
사료소비,0.2,0.1,0.3,0.6,0.7,0.6,0.5,0.6,0.4,0.6
산업소비,0.6,0.7,0.8,0.7,0.7,0.8,0.7,0.6,0.5,0.5
기타소비,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,1.4,1.5,1.7,1.9,1.9,1.9,1.7,1.7,1.4,1.7
수출량,0.4,0.1,-,-,-,-,0.1,0.1,0.2,0.2
내년이월,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1
